link_id|hub|src|chunk|relation|stratum
139009|176409|47024|1605806|corroborates|exemplar
139032|176432|1698|163118|corroborates|exemplar
1345732|176432|1698|163161|establishes|exemplar
139557|176448|1202|109552|corroborates|exemplar
142388|176594|5858|1045583|corroborates|exemplar
142537|176610|4779|629496|corroborates|exemplar
142555|176612|4779|629496|corroborates|exemplar
142632|176620|778|64341|corroborates|exemplar
1038598|176620|5641|872111|establishes|exemplar
142669|176623|5916|1053372|corroborates|exemplar
142797|176643|3623|428885|corroborates|exemplar
142813|176659|12|119|corroborates|exemplar
142814|176660|3548|417255|corroborates|exemplar
142861|176705|2036|206041|corroborates|exemplar
149607|176793|2815|307447|corroborates|exemplar
507375|177399|4698|614142|corroborates|exemplar
507389|177412|5693|892098|corroborates|exemplar
507400|177423|3024|337813|corroborates|exemplar
509849|177497|3025|337836|corroborates|exemplar
525123|177597|42081|1531336|corroborates|exemplar
526742|177615|206|12589|corroborates|exemplar
578898|177720|4137|510143|corroborates|exemplar
131002|176372|495|35592|corroborates|random
139008|176408|3824|461184|corroborates|random
139037|176436|2036|206076|corroborates|random
139555|176447|5646|875642|corroborates|random
139623|176512|4983|667138|corroborates|random
142174|176535|1599|151057|corroborates|random
1355318|176555|3501|407924|establishes|random
142205|176566|3025|337836|corroborates|random
1355291|176569|2790|303330|establishes|random
142213|176574|3583|422680|corroborates|random
142444|176600|1996|201276|corroborates|random
142622|176619|778|64341|corroborates|random
142831|176677|3190|360157|corroborates|random
142833|176679|3200|361242|corroborates|random
142866|176710|73|2949|corroborates|random
149569|176756|5036|680578|corroborates|random
149578|176765|5036|680567|corroborates|random
151188|176819|4503|575319|corroborates|random
151213|176843|3501|407920|corroborates|random
163347|176905|2645|283292|corroborates|random
507396|177419|2276|236106|corroborates|random
508207|177438|1900|190008|corroborates|random
509835|177484|3957|482051|corroborates|random
510666|177518|487|34751|corroborates|random
525094|177570|2248|232612|corroborates|random
525125|177599|514|37589|corroborates|random
526759|177632|771|63345|corroborates|random
578903|177725|2706|291339|corroborates|random
764243|178059|3399|395707|corroborates|random
847803|178206|1905|190592|corroborates|random
